,english,arabic,sts
0,"Someone carries a skateboard night on the sidewalk.
",رجل جالس بمفرده يقرأ على طاولة مستديرة ، خارج أحد المتاجر,0.800000
1,"The women race in the Daytona 500.
",يتسابق بعض الرجال ضمن مسابقة التزلج,1.000000
2,"Women walk side by side.
",هناك فتيات يمشين متجاورات,2.600000
3,"The guy with the green shirt jumps up on the grass.
",يمشي الرجل ذو القميص الأبيض على العشب الطويل ممسكا بعصا,2.200000
4,"Two men sitting on the lawn with bananas.
",ثلاثة رجال يتسكعون عند فرشة بيع الفاكهة,1.400000
5,"A pile of rocks bearing strange marks, causing people to rally around.
",يسير بعض الأشخاص على بعض الصخور الموجودة في الماء,1.800000
6,"The women helped one of the runners who had fallen, standing up on his feet.
",كانت المرأة تضع المكياج,0.400000
7,"You buy cheap women.
",تبيع إحدى النساء المحصول,1.400000
8,"Jogging a woman in one of the alleys, wearing black clothes.
",يسير شاب ذو سترة سوداء على الرصيف,1.000000
9,"It's a concert.
",يقدم شخصٌ حفلا موسيقيا,2.800000
10,"The guys went to school together.
",يذهب رجلان إلى العمل,1.000000
11,"The woman's bag contains the art gallery where she's in.
",تحمل المرأة عملا فنيا في المدرسة,1.600000
12,"Three people stand on a solid black platform next to a black chair and a guitar.
",تقف امرأة تعزف القيثارة على كرسي أمام البيت الأبيض,1.800000
13,"The backpack is wide open.
",تقبع المرأة داخل غرفة الملابس الموجودة في اليخت,0.200000
14,"An artist trying to sell his paintings.
",فنان يظهر لوحاته للآخرين,3.200000
15,"A man talking to three men about a woman who looks weird on the left.
",تتحدث امرأتان إلى بعضهما البعض ، بينما ينظر رجل إليهما,2.000000
16,"Two men wearing dark clothes are watching a crowd of people.
",هناك أشخاص يرتدون ملابس بيضاء يحدقون في الخيول,1.000000
17,"The guy was banging drums.
",يحمل الرجل قيثارته,1.400000
18,"Earth has snow.
",ثلوج على الأرض,5.000000
19,"The length of the rock is a climber.
",الصخرة أطول من الرجل,4.000000
20,"A child reads a book about dogs.
",كلب يقرأ كتابا للطفل,1.000000
21,"There's a military parade in the buckets.
",هناك حشد يشاهد معرضا,1.600000
22,"She's wearing a tennis racket.
",لاعبة تنس ترتدي ملابس باللون البرتقالي في منتصف مباراة لكرة المضرب,3.200000
23,"The two men check rare insects in the jungle.
",يوجد كلبان في الثلوج ، وفي فمم أحدهما شيء,0.600000
24,"Gymnastics might be right.
",سيذهب رجل للسباحةحالا,0.200000
25,"A cat chasing a dog out there.
",يحاول كلب الإمساك بقطة,2.600000
26,"Run a bunch of skates in the race.
",يسحب كلبان زلاجة في أحد السباقات,3.600000
